epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1593.48,0.82026,0.93504,1.34102,0.72443,0.76258,0.80762,0.51759,1.03955,1.08468,1.70223,0.000825029,0.000825029,0.000825029
67,1614.02,0.79325,0.92046,1.31055,0.75132,0.76694,0.80562,0.54243,1.02949,0.96514,1.7582,0.000820629,0.000820629,0.000820629
68,1634.46,0.80298,0.92289,1.29846,0.73085,0.76125,0.84829,0.59489,0.89944,0.9582,1.55732,0.000816229,0.000816229,0.000816229
69,1654.99,0.80427,0.90332,1.31493,0.78816,0.73016,0.82985,0.55527,0.95263,0.93517,1.60765,0.00081183,0.00081183,0.00081183
70,1676.93,0.7939,0.89714,1.30532,0.77744,0.69545,0.79732,0.55899,0.92325,0.9841,1.62965,0.00080743,0.00080743,0.00080743
71,1699.1,0.78609,0.90412,1.30363,0.76298,0.78154,0.82269,0.56472,0.93995,0.97956,1.61452,0.000803031,0.000803031,0.000803031
72,1720.15,0.78741,0.87612,1.30204,0.6907,0.70031,0.75852,0.51108,0.95683,1.05215,1.62983,0.000798631,0.000798631,0.000798631
73,1741.13,0.77401,0.82944,1.299,0.71867,0.67135,0.80105,0.5704,0.88072,1.05779,1.5935,0.000794232,0.000794232,0.000794232
74,1761.43,0.77605,0.86593,1.30287,0.69174,0.72611,0.77796,0.54837,0.89054,1.04583,1.58455,0.000789832,0.000789832,0.000789832
75,1782.44,0.78131,0.87536,1.29617,0.74813,0.69138,0.7804,0.5258,1.01641,1.00852,1.67927,0.000785433,0.000785433,0.000785433
76,1806.87,0.80309,0.88957,1.32255,0.76256,0.73951,0.78908,0.55563,0.92865,0.99442,1.58026,0.000781033,0.000781033,0.000781033
77,1828.8,0.75184,0.85645,1.27418,0.73628,0.76207,0.80532,0.54094,1.00233,1.02302,1.66387,0.000776633,0.000776633,0.000776633
78,1850.82,0.79157,0.82901,1.311,0.76427,0.75553,0.8225,0.59001,0.94483,0.9175,1.62876,0.000772234,0.000772234,0.000772234
79,1871.02,0.78381,0.89194,1.30095,0.77473,0.66963,0.76887,0.49601,0.99392,1.18853,1.65954,0.000767834,0.000767834,0.000767834
80,1891.86,0.78469,0.84131,1.29655,0.73421,0.7132,0.7894,0.52336,0.98296,1.00032,1.6349,0.000763435,0.000763435,0.000763435
81,1912.46,0.77495,0.83957,1.28925,0.75291,0.735,0.79624,0.55937,0.91358,0.94242,1.56306,0.000759035,0.000759035,0.000759035
82,1933.26,0.74858,0.82744,1.25765,0.68531,0.81211,0.83659,0.57769,0.96508,0.87536,1.64106,0.000754636,0.000754636,0.000754636
83,1955.23,0.75177,0.79383,1.28369,0.80153,0.74937,0.83781,0.56146,0.99533,0.91116,1.64909,0.000750236,0.000750236,0.000750236
84,1976.93,0.75687,0.83638,1.26056,0.74102,0.74561,0.80604,0.54237,0.96515,0.96273,1.62943,0.000745837,0.000745837,0.000745837
85,1996.88,0.75183,0.82469,1.29259,0.76783,0.68364,0.75191,0.51749,0.98289,1.06158,1.64477,0.000741437,0.000741437,0.000741437
86,2019.4,0.74919,0.80881,1.2676,0.75206,0.69043,0.78365,0.5435,0.92373,0.94848,1.58054,0.000737037,0.000737037,0.000737037
87,2040,0.74856,0.83206,1.2894,0.78521,0.76664,0.85554,0.60369,0.94584,0.79805,1.6265,0.000732638,0.000732638,0.000732638
88,2060.95,0.74215,0.81099,1.27344,0.75689,0.8,0.857,0.58673,0.91916,0.85442,1.58078,0.000728238,0.000728238,0.000728238
89,2082.58,0.75398,0.80366,1.27033,0.80793,0.71571,0.83516,0.56398,1.00139,0.85851,1.71634,0.000723839,0.000723839,0.000723839
90,2102.87,0.72415,0.77658,1.2591,0.79035,0.75251,0.83508,0.59063,0.91455,0.91208,1.58482,0.000719439,0.000719439,0.000719439
91,2123.28,0.74209,0.76871,1.26862,0.79042,0.81362,0.842,0.59354,0.97196,0.8506,1.6279,0.00071504,0.00071504,0.00071504
92,2143.77,0.72649,0.76514,1.25727,0.75255,0.71276,0.78654,0.54425,1.00766,0.97342,1.72625,0.00071064,0.00071064,0.00071064
93,2164.48,0.72885,0.77467,1.25509,0.76645,0.66861,0.76364,0.52694,0.94046,1.09844,1.59346,0.00070624,0.00070624,0.00070624
94,2186.22,0.72306,0.79315,1.25032,0.81253,0.7775,0.85387,0.60622,0.90088,0.83799,1.57229,0.000701841,0.000701841,0.000701841
95,2208.4,0.73849,0.75435,1.25417,0.7487,0.76466,0.83782,0.59388,0.98704,0.83959,1.69007,0.000697441,0.000697441,0.000697441
96,2232.5,0.74028,0.75256,1.27362,0.80918,0.66974,0.78669,0.55004,0.97086,0.96896,1.6525,0.000693042,0.000693042,0.000693042
97,2253.06,0.73334,0.78876,1.26945,0.77918,0.78354,0.82808,0.58575,0.91974,0.86456,1.60301,0.000688642,0.000688642,0.000688642
98,2274.01,0.70387,0.75277,1.23097,0.73755,0.72265,0.78791,0.54795,0.90985,0.93046,1.58463,0.000684243,0.000684243,0.000684243
99,2295.62,0.73025,0.7654,1.24098,0.80212,0.76008,0.82852,0.57036,0.98146,0.91268,1.63976,0.000679843,0.000679843,0.000679843
100,2317.69,0.71581,0.7385,1.25239,0.70959,0.76408,0.79105,0.57677,0.91434,0.935,1.54595,0.000675444,0.000675444,0.000675444
101,2338.44,0.71523,0.72052,1.23943,0.70877,0.74373,0.79729,0.58485,0.96127,0.96859,1.63053,0.000671044,0.000671044,0.000671044
102,2359.63,0.72089,0.7418,1.2273,0.74535,0.83079,0.81991,0.57964,0.93563,0.83903,1.63374,0.000666644,0.000666644,0.000666644
103,2380.4,0.70949,0.7036,1.23424,0.77364,0.7553,0.83825,0.60341,0.87091,0.81949,1.53599,0.000662245,0.000662245,0.000662245
104,2401.21,0.70926,0.7295,1.22566,0.80367,0.7293,0.82108,0.56579,0.9184,0.88469,1.56459,0.000657845,0.000657845,0.000657845
105,2423.2,0.70567,0.74733,1.23437,0.8193,0.75752,0.85694,0.61951,0.88642,0.81219,1.53926,0.000653446,0.000653446,0.000653446
106,2448.63,0.6834,0.74469,1.22359,0.76716,0.7722,0.83462,0.55528,0.98883,0.8561,1.71124,0.000649046,0.000649046,0.000649046
107,2469.1,0.69432,0.68676,1.22157,0.7578,0.77399,0.82041,0.59753,0.90895,0.86928,1.58032,0.000644647,0.000644647,0.000644647
108,2489.73,0.69398,0.7008,1.21467,0.79652,0.74038,0.82664,0.58262,0.9561,0.84988,1.64612,0.000640247,0.000640247,0.000640247
109,2510.34,0.68393,0.67754,1.23444,0.7915,0.7106,0.80873,0.55341,0.97113,0.90781,1.64111,0.000635848,0.000635848,0.000635848
110,2532.45,0.69664,0.70716,1.23383,0.73882,0.7922,0.84208,0.61931,0.8656,0.81347,1.51677,0.000631448,0.000631448,0.000631448
111,2553.55,0.67564,0.69755,1.20858,0.81585,0.7756,0.86754,0.58106,0.94928,0.81624,1.61485,0.000627048,0.000627048,0.000627048
112,2573.88,0.69129,0.69461,1.24392,0.85398,0.76923,0.83797,0.56326,1.03208,0.8444,1.75813,0.000622649,0.000622649,0.000622649
113,2594.22,0.68658,0.66667,1.2077,0.81408,0.79689,0.86405,0.60593,0.94035,0.7787,1.63549,0.000618249,0.000618249,0.000618249
114,2614.66,0.69531,0.70464,1.23062,0.83845,0.77026,0.86095,0.60367,0.9348,0.76809,1.62941,0.00061385,0.00061385,0.00061385
115,2636.62,0.67582,0.66445,1.22505,0.86316,0.77745,0.87979,0.62631,0.90373,0.76336,1.58153,0.00060945,0.00060945,0.00060945
116,2662,0.67979,0.7061,1.21761,0.82124,0.82245,0.86976,0.64603,0.86799,0.75609,1.54285,0.000605051,0.000605051,0.000605051
117,2682.66,0.67559,0.65482,1.21313,0.88162,0.7962,0.90311,0.65019,0.87868,0.6927,1.53473,0.000600651,0.000600651,0.000600651
118,2703,0.66869,0.65787,1.20659,0.80129,0.74031,0.8332,0.61415,0.88639,0.85882,1.56024,0.000596251,0.000596251,0.000596251
119,2723.59,0.65784,0.68728,1.21455,0.80287,0.76241,0.83736,0.61168,0.88955,0.82056,1.57989,0.000591852,0.000591852,0.000591852
120,2744.5,0.68087,0.65029,1.1987,0.81578,0.75764,0.84881,0.59475,0.96629,0.91866,1.63877,0.000587452,0.000587452,0.000587452
121,2766.23,0.6635,0.65192,1.20376,0.84239,0.76085,0.83108,0.59472,0.93307,0.8142,1.59983,0.000583053,0.000583053,0.000583053
122,2787.25,0.66623,0.65686,1.20523,0.82877,0.79415,0.86816,0.6108,0.95786,0.80351,1.65175,0.000578653,0.000578653,0.000578653
123,2807.67,0.65569,0.63227,1.18644,0.82163,0.82823,0.89296,0.61095,0.92751,0.80274,1.61985,0.000574254,0.000574254,0.000574254
124,2828.04,0.64941,0.62878,1.20534,0.81872,0.7444,0.84408,0.60418,0.89862,0.87531,1.5581,0.000569854,0.000569854,0.000569854
125,2849.02,0.65828,0.65651,1.18255,0.76249,0.79,0.83052,0.57209,0.91418,0.90279,1.61846,0.000565455,0.000565455,0.000565455
126,2872.14,0.6652,0.6816,1.21227,0.77589,0.74331,0.82822,0.56877,0.95207,0.86271,1.66139,0.000561055,0.000561055,0.000561055
127,2894.15,0.66569,0.65925,1.21182,0.79367,0.73809,0.83655,0.55624,0.95047,0.87125,1.64143,0.000556655,0.000556655,0.000556655
128,2916.27,0.64214,0.64608,1.19224,0.80952,0.79212,0.87539,0.62263,0.8955,0.78437,1.55983,0.000552256,0.000552256,0.000552256
129,2936.15,0.66564,0.68748,1.20335,0.80168,0.81966,0.8806,0.61236,0.93766,0.80631,1.60292,0.000547856,0.000547856,0.000547856
130,2956.72,0.66233,0.63715,1.19535,0.82839,0.84001,0.90021,0.60547,0.97003,0.78354,1.65747,0.000543457,0.000543457,0.000543457
131,2977.36,0.62587,0.6194,1.17149,0.85853,0.78275,0.87802,0.58706,0.9908,0.85819,1.68869,0.000539057,0.000539057,0.000539057
132,2998.42,0.65214,0.61177,1.18566,0.82089,0.84301,0.87687,0.61046,0.93519,0.80984,1.59227,0.000534658,0.000534658,0.000534658
133,3019.78,0.63728,0.6145,1.19653,0.78965,0.81313,0.83751,0.5934,0.92544,0.89397,1.59748,0.000530258,0.000530258,0.000530258
134,3042.11,0.64558,0.59645,1.18784,0.801,0.82115,0.85774,0.59228,0.94744,0.7926,1.62606,0.000525859,0.000525859,0.000525859
135,3062.55,0.62855,0.62197,1.17111,0.86312,0.80745,0.87575,0.58819,0.93384,0.75253,1.63578,0.000521459,0.000521459,0.000521459
136,3086.39,0.64351,0.63322,1.19565,0.80257,0.76693,0.82684,0.59847,0.89212,0.89433,1.56189,0.000517059,0.000517059,0.000517059
137,3107.46,0.62268,0.60808,1.18007,0.8017,0.79274,0.86085,0.60997,0.87978,0.80587,1.57855,0.00051266,0.00051266,0.00051266
138,3128.73,0.63433,0.6243,1.19756,0.82158,0.84811,0.88439,0.6229,0.89729,0.77986,1.57586,0.00050826,0.00050826,0.00050826
139,3150.23,0.61397,0.60848,1.16122,0.83187,0.78499,0.84348,0.59493,0.9019,0.84365,1.5869,0.000503861,0.000503861,0.000503861
140,3170.77,0.64568,0.64209,1.17831,0.82644,0.8249,0.87723,0.61519,0.92874,0.7443,1.65379,0.000499461,0.000499461,0.000499461
141,3191.29,0.60875,0.59905,1.15758,0.79043,0.7797,0.85306,0.59742,0.95278,0.81755,1.68167,0.000495062,0.000495062,0.000495062
142,3212.26,0.61696,0.59198,1.16334,0.82242,0.76817,0.85488,0.57381,0.98321,0.85789,1.6809,0.000490662,0.000490662,0.000490662
